iter	RMSE
158	0.2701824655
159	0.2700846573
160	0.2700669113
161	0.269956671
162	0.2697768604
163	0.2695811706
164	0.2694082159
165	0.2693921346
166	0.2693006809
167	0.2691306765
168	0.2688556615
169	0.2687038539
170	0.2685052976
171	0.2683332078
172	0.2680691924
173	0.2678789227
174	0.2678640571
175	0.2676740468
176	0.2674994584
177	0.2674140503
178	0.2672904089
179	0.2671418635
180	0.2669623029
181	0.266815799
182	0.2666070074
183	0.2664317893
184	0.266263172
185	0.2661474583
186	0.2659889653
187	0.2658929612
188	0.2658055897
189	0.2656059319
190	0.2654473636
191	0.2653011573
192	0.2651304911
193	0.2649304126
194	0.2647915657
195	0.2647253345
196	0.2645776128
197	0.2643497337
198	0.2641888748
199	0.26401031
200	0.2638848643
201	0.2637900467
202	0.2637792318
203	0.2636751732
204	0.2635036709
205	0.263373528
206	0.2632589663
207	0.2631892461
208	0.2629867678
209	0.26286788
210	0.2627771341
211	0.262717116
212	0.2625638573
213	0.2623908278
214	0.2622244169
215	0.2621575096
216	0.26203394
217	0.2617923724
218	0.2616991553
219	0.2615820731
220	0.2615733167
221	0.2614458009
222	0.2613659677
223	0.2611880179
224	0.2610151706
225	0.2609203791
226	0.2608637199
227	0.2608376137
228	0.2607577853
229	0.2605850398
230	0.2605138366
231	0.2605060413
232	0.2603569063
233	0.2602986883
234	0.2602913015
235	0.2601898123
236	0.2600520648
237	0.2599216356
238	0.2598977276
239	0.2596941347
240	0.2595845413
241	0.2594281996
242	0.2593711745
243	0.2591544958
244	0.2590991987
245	0.2590080767
246	0.2588723169
247	0.2587669064
248	0.2586403128
249	0.2584910166
250	0.2583387331
251	0.2582611254
252	0.2580884312
253	0.258015508
254	0.2580093557
255	0.2579097435
256	0.2579039215
257	0.2577585063
258	0.2576514015
259	0.2575571831
260	0.2574731917
261	0.2572989802
262	0.2571889713
263	0.2570456237
264	0.2570035124
265	0.2569614972
266	0.2569169635
267	0.2567906371
268	0.2566612425
269	0.256561287
270	0.2564336137
271	0.2563542953
272	0.2562121639
273	0.2561499794
274	0.2560727024
275	0.2558952025
276	0.255794285
277	0.2556879874
278	0.2555665362
279	0.2554577302
280	0.2553862537
281	0.2553132621
282	0.2552737435
283	0.2551653553
284	0.2550978118
285	0.2549635437
286	0.2548964705
287	0.2547605514
288	0.2546810813
289	0.2546470427
290	0.2546192094
291	0.2544943425
292	0.2544193994
293	0.2542528163
294	0.2541926794
295	0.2541457922
296	0.2540580032
297	0.2539969677
298	0.2539486371
299	0.2539090069
300	0.2537211872
301	0.2536078706
302	0.2535664619
303	0.2535541129
304	0.2534599849
305	0.2533584396
306	0.2532569244
307	0.2531881249
308	0.2531127599
309	0.2530780779
310	0.2529688269
311	0.252906744
312	0.2528373595
313	0.2527105385
314	0.2526745097
315	0.2526014404
316	0.2525455714
317	0.2524180714
318	0.2523317436
319	0.2522667084
320	0.2522082533
321	0.2521504566
322	0.251999804
323	0.2519590418
324	0.2518989666
325	0.251861381
326	0.2517829705
327	0.2516819864
328	0.2516459918
329	0.2515965197
330	0.2515437401
331	0.2515007853
332	0.2514145947
333	0.2513281329
334	0.2512613361
335	0.2511867597
336	0.2510936624
337	0.2510459193
338	0.2509744727
339	0.2508587355
340	0.2506670249
341	0.2505876193
342	0.2505031578
343	0.2503982829
344	0.2503170945
345	0.2502421064
346	0.2501303898
347	0.2500161016
348	0.2499298212
349	0.2498787452
350	0.249847947
351	0.2497623298
352	0.2496840487
353	0.2496492765
354	0.2496260599
355	0.2495862584
356	0.2495082383
357	0.2494823291
358	0.2493971706
359	0.2493427241
360	0.2493214141
361	0.2492199786
362	0.2491074866
363	0.249072747
364	0.2490693283
365	0.2489868675
366	0.2489711443
367	0.2489121158
368	0.2488387857
369	0.2487256612
370	0.2487001006
371	0.2486003158
372	0.2485250281
373	0.2483700987
374	0.2483355987
375	0.2482654722
376	0.248235085
377	0.248148838
378	0.2479699335
379	0.2479154657
380	0.2478455702
381	0.247805833
382	0.2477679326
383	0.2477231129
384	0.2476279241
385	0.247558881
386	0.2475138234
387	0.2475110366
388	0.2474696603
389	0.2474158607
390	0.247345782
391	0.2472746933
392	0.2472069214
393	0.2471864725
394	0.2471038732
395	0.2471013655
396	0.2470346256
397	0.2469869534
398	0.2469320343
399	0.2468509265
400	0.2468025928
401	0.2466869716
402	0.2466428121
403	0.2466156146
404	0.2464818036
405	0.2463526586
406	0.2463008286
407	0.2462322876
408	0.2461712395
409	0.2461425735
410	0.2459327265
411	0.2458809833
412	0.2458226688
413	0.2457919939
414	0.2457574281
415	0.245610328
416	0.2455310186
417	0.2454648078
418	0.2454029205
419	0.2453519553
420	0.2452986848
421	0.2452428499
422	0.2451950767
423	0.2451249674
424	0.2451014107
425	0.2450573029
426	0.2449146377
427	0.2448050936
428	0.2447539996
429	0.244701959
430	0.2446624358
431	0.2446227767
432	0.2445884552
433	0.2445492715
434	0.2444521408
435	0.2443757912
436	0.2443242154
437	0.2442984581
438	0.2442293199
439	0.2441392599
440	0.2441232957
441	0.2440721372
442	0.2440148555
443	0.2439792542
444	0.2439187906
445	0.2438621323
446	0.2438360809
447	0.2438056624
448	0.2437858022
449	0.2436690953
450	0.2436352114
451	0.2436328276
452	0.2435690504
453	0.2435310431
454	0.2434785302
455	0.2434403927
456	0.2434003775
457	0.2433402119
458	0.2432771566
459	0.2432365609
460	0.2432190125
461	0.2431820571
462	0.2431282247
463	0.2431013163
464	0.2430825447
465	0.2430502987
466	0.2430244731
467	0.2430104711
468	0.2429430975
469	0.2428703408
470	0.2428285953
471	0.2427556933
472	0.2427279877
473	0.2426505586
474	0.2425212182
475	0.2424877433
476	0.2424785053
477	0.2424433001
478	0.2424102898
479	0.2423291805
480	0.2422382914
481	0.242191866
482	0.2421289477
483	0.2420720063
484	0.2419378807
485	0.2418698596
486	0.2418065659
487	0.2417648599
488	0.241717868
489	0.241660041
490	0.2415827792
491	0.2415680176
492	0.2415090053
493	0.2414757347
494	0.2414513921
495	0.2413967394
496	0.2413573919
497	0.2412966925
498	0.2412776693
499	0.2412277094
500	0.2411323068
501	0.2410465446
502	0.241032105
503	0.2408375007
504	0.2407878342
505	0.2407608488
506	0.2407452805
507	0.2406587576
508	0.2405072657
509	0.2404693892
510	0.2404329426
511	0.2403943788
512	0.2403494095
513	0.2403075204
514	0.2402878356
515	0.240262924
516	0.240230797
517	0.2401666693
518	0.2401202327
519	0.2400855394
520	0.240054478
521	0.2400131011
522	0.2400077279
523	0.2399786577
524	0.2398959096
525	0.2398554734
526	0.2398401629
527	0.2397884015
528	0.2397428273
529	0.2396436168
530	0.2395946357
531	0.23947005
532	0.2393638747
533	0.2393529288
534	0.23928236
535	0.2392449086
536	0.2391935021
537	0.2391500416
538	0.2391015964
539	0.2390552538
540	0.2390114068
541	0.2389341795
542	0.2389006011
543	0.2388836751
544	0.238785446
545	0.2387504853
546	0.2387072679
547	0.2386721298
548	0.238650966
549	0.2386217958
550	0.2385897821
551	0.2385535141
552	0.2385054674
553	0.2384434209
554	0.2383829089
555	0.2383331386
556	0.2383142529
557	0.2382876892
558	0.2382300952
559	0.2382111132
560	0.2381567666
561	0.2381354925
562	0.238101579
563	0.2380909316
564	0.2380453868
565	0.2379447306
566	0.2378684612
567	0.2378289394
568	0.2377936014
569	0.2376455998
570	0.2376028164
571	0.2375511695
572	0.2375300643
573	0.2375085068
574	0.2374774137
575	0.2374039717
576	0.2373682185
577	0.237331105
578	0.2372211773
579	0.2372031611
580	0.2371557275
581	0.2371420932
582	0.2370836037
583	0.2370127172
584	0.2369945466
585	0.2369744614
586	0.2369625894
587	0.2369529051
588	0.2369364978
589	0.2369149192
590	0.2368634448
591	0.2368414744
592	0.2367737471
593	0.2367558845
594	0.2367033537
595	0.2366933337
596	0.2366837058
597	0.2366306053
598	0.236591694
599	0.2365545862
600	0.2365346732
601	0.2364658787
602	0.2364448761
603	0.2363961206
604	0.236321696
605	0.2363090143
606	0.2362659237
607	0.2362087604
608	0.236193313
609	0.2361675152
610	0.2361418502
611	0.2361053132
612	0.236015226
613	0.235974425
614	0.2359432617
615	0.2359304358
616	0.2358806346
617	0.2358535187
618	0.2358341012
619	0.2357532203
620	0.2356707583
621	0.2356363642
622	0.2355845925
623	0.2355104061
624	0.2354760247
625	0.235427577
626	0.2353948024
627	0.2353624927
628	0.2353470462
629	0.2353262019
630	0.235313103
631	0.2353006593
632	0.2352590089
633	0.2351976939
634	0.2351759776
635	0.2351409973
636	0.2351167244
637	0.235098136
638	0.2350662263
639	0.2350047794
640	0.2349516469
641	0.2349429946
642	0.2348954096
643	0.234884958
644	0.2348701468
645	0.234837037
646	0.2347934722
647	0.2347732794
648	0.2347105726
649	0.2346937943
650	0.2346789194
651	0.2346677565
652	0.2346566957
653	0.2345793562
654	0.2345453751
655	0.2345366256
656	0.234533413
657	0.2344636407
658	0.2344455169
659	0.2344179955
660	0.2343531896
661	0.2343361091
662	0.2342967308
663	0.2342841289
664	0.2342372699
665	0.2342079953
666	0.2341456957
667	0.2340714196
668	0.2340311338
669	0.2340101659
670	0.233979185
671	0.2339636764
672	0.2339444258
673	0.2338873567
674	0.2338797551
675	0.2338576669
676	0.2338427389
677	0.2338018576
678	0.2337502271
679	0.2337108017
680	0.2336934664
681	0.2336769343
682	0.2336097297
683	0.2335861095
684	0.2335609074
685	0.2335473091
686	0.233513209
687	0.2334715115
688	0.2333578759
689	0.2333507695
690	0.2333206485
691	0.2332491242
692	0.2332113316
693	0.2331520626
694	0.2331297026
695	0.2331074218
696	0.2330858129
697	0.233051931
698	0.2330038005
699	0.2329715761
700	0.232949889
701	0.2329361646
702	0.2328842165
703	0.2328742723
704	0.2328420753
705	0.2328313507
706	0.2328229857
707	0.2327849873
708	0.2327749773
709	0.2327473149
710	0.2327102704
711	0.232622618
712	0.2325917404
713	0.2325501884
714	0.2325403228
715	0.2325153608
716	0.2324914156
717	0.2324406939
718	0.2324158481
719	0.2323865081
720	0.2323194019
721	0.2322903672
722	0.2322531988
723	0.2322404929
724	0.2322162252
725	0.2321880032
726	0.2321783546
727	0.2321455987
728	0.2321037715
729	0.2320779557
730	0.2320697724
731	0.2320201552
732	0.2319655688
733	0.2319519666
734	0.2319022715
735	0.2318355345
736	0.2318295545
737	0.2317903038
738	0.2317789361
739	0.2317696546
740	0.2317421847
741	0.231687018
742	0.2316508168
743	0.2316252178
744	0.2316121358
745	0.2315988597
746	0.231533993
747	0.2314965522
748	0.2314852562
749	0.2314408507
750	0.2314103707
751	0.2313761628
752	0.2313486797
753	0.2313228823
754	0.2312793953
755	0.2312548235
756	0.2312214511
757	0.2312032182
758	0.2311712931
759	0.2311430589
760	0.2311209038
761	0.2311114713
762	0.2310845241
763	0.2310766568
764	0.2310175702
765	0.2309730357
766	0.2309485383
767	0.2309123473
768	0.2308747823
769	0.2308662565
770	0.230818704
771	0.2308108168
772	0.2307991313
773	0.2307839245
774	0.230757398
775	0.2307447655
776	0.2307053209
777	0.2306722903
778	0.2305959624
779	0.2305759534
780	0.2305510744
781	0.2305428063
782	0.2305371206
783	0.2305222367
784	0.230491505
785	0.2304742441
786	0.2304234193
787	0.2303404248
788	0.2303054701
789	0.2302730148
790	0.230234337
791	0.2302066118
792	0.2301655231
793	0.2301154995
794	0.2301066375
795	0.2300810656
796	0.2300604732
797	0.230040076
798	0.2300131483
799	0.2299619672
800	0.2298947321
801	0.2298768885
802	0.2298542757
803	0.2297690754
804	0.2297481078
805	0.2297404266
806	0.2297214701
807	0.2296637527
808	0.2296066652
809	0.2295978975
810	0.2295717768
811	0.2295467819
812	0.229502952
813	0.2294955195
814	0.2294697173
815	0.2294503016
816	0.2294431822
817	0.2294190733
818	0.2293602519
819	0.2293316992
820	0.2293148295
821	0.2292708807
822	0.2292459682
823	0.2291997338
824	0.2291813848
825	0.2291674778
826	0.2291529744
827	0.229148223
828	0.2291415749
829	0.2291082125
830	0.2290956866
831	0.229090995
832	0.229073229
833	0.2290418943
834	0.2290226347
835	0.228989201
836	0.2289746322
837	0.2289490975
838	0.228904145
839	0.2288762442
840	0.2288666775
841	0.2288514745
842	0.2288033941
843	0.2287906145
844	0.2287782205
845	0.2287519567
846	0.2287401514
847	0.2287271945
848	0.2286845563
849	0.2286581067
850	0.2286090269
851	0.2285783914
852	0.2285611132
853	0.2285512707
854	0.2285289027
855	0.2284867853
856	0.2284204805
857	0.228396569
858	0.2283649406
859	0.2283604669
860	0.2283368014
861	0.2283196752
862	0.228307648
863	0.2282231445
864	0.2281874668
865	0.2281526705
866	0.2281426423
867	0.2280970879
868	0.2280851109
869	0.2280643962
870	0.2280410015
871	0.2280097749
872	0.2279976162
873	0.2279900257
874	0.2279502297
875	0.2279362902
876	0.2278915148
877	0.2278796645
878	0.227840683
879	0.2278185043
880	0.2277845847
881	0.2277720436
882	0.2277612795
883	0.2276839714
884	0.2276406671
885	0.2275871378
886	0.2275807996
887	0.2275529041
888	0.2275462226
889	0.2274909825
890	0.2274617084
891	0.2274474452
892	0.2273701402
893	0.2273512239
894	0.2273187311
895	0.2272861045
896	0.2272649486
897	0.2272221165
898	0.2272033512
899	0.2271683359
900	0.2271618922
901	0.2271475167
902	0.2271312481
903	0.2270854653
904	0.2270704683
905	0.2270370996
906	0.2270129254
907	0.2269950707
908	0.2269825267
909	0.2269621959
910	0.2269312068
911	0.2269108627
912	0.2268728794
913	0.2268646254
914	0.2268303121
915	0.2268228213
916	0.2268098995
917	0.2268003925
918	0.2267800409
919	0.2267561771
920	0.2267439874
921	0.2267260641
922	0.2266978809
923	0.2266830918
924	0.2266157318
925	0.2266090588
926	0.2266049232
927	0.2265929265
928	0.2265821996
929	0.2265414813
930	0.2265037776
931	0.2264771786
932	0.2264636767
933	0.2264376517
934	0.2264079315
935	0.2263963616
936	0.2263855179
937	0.226367856
938	0.2263531352
939	0.2263231444
940	0.2262893051
941	0.226267324
942	0.2262487771
943	0.2262198875
944	0.2261782448
945	0.2261646724
946	0.226157918
947	0.2261479693
948	0.226139802
949	0.2261240328
950	0.2260973724
951	0.226039642
952	0.2260121994
953	0.2259666484
954	0.2259427308
955	0.2259079008
956	0.2258925556
957	0.2258252998
958	0.2258017948
959	0.2257890511
960	0.2257761023
961	0.2257552997
962	0.2257339669
963	0.2256982367
964	0.2256820487
965	0.2256494556
966	0.2256216607
967	0.225617079
968	0.2256040605
969	0.2255604033
970	0.2255386694
971	0.2255195873
972	0.225496052
973	0.2254877962
974	0.2254865439
975	0.22546183
976	0.2254483264
977	0.2254424655
978	0.2254297108
979	0.2254261233
980	0.2254021265
981	0.2253777417
982	0.2253701558
983	0.2253640088
984	0.2253363309
985	0.225313809
986	0.225279642
987	0.2252626107
988	0.2252492425
989	0.2252272022
990	0.2252032972
991	0.2251764565
992	0.2251672133
993	0.2251170283
994	0.22509818
995	0.2250535354
996	0.225046535
997	0.2250415133
998	0.225001797
999	0.2249898033
