iter	Passed	Remaining
404	8401	95320
405	8416	95236
406	8433	95169
407	8448	95086
408	8465	95025
409	8485	94991
410	8503	94949
411	8524	94932
412	8545	94905
413	8561	94835
414	8578	94778
415	8598	94743
416	8613	94660
417	8634	94650
418	8652	94599
419	8675	94603
420	8695	94571
421	8713	94530
422	8733	94498
423	8751	94448
424	8770	94413
425	8787	94349
426	8806	94309
427	8823	94254
428	8842	94213
429	8858	94151
430	8876	94103
431	8898	94089
432	8917	94052
433	8936	94022
434	8951	93939
435	8968	93885
436	8987	93849
437	9003	93778
438	9021	93730
439	9039	93682
440	9055	93617
441	9074	93574
442	9091	93522
443	9111	93496
444	9132	93479
445	9149	93427
446	9170	93407
447	9191	93388
448	9211	93368
449	9227	93297
450	9243	93233
451	9261	93188
452	9283	93179
453	9298	93108
454	9316	93064
455	9335	93027
456	9350	92955
457	9369	92917
458	9388	92885
459	9404	92815
460	9422	92772
461	9438	92705
462	9457	92673
463	9474	92618
464	9494	92600
465	9510	92531
466	9529	92497
467	9545	92439
468	9565	92414
469	9582	92363
470	9597	92291
471	9617	92258
472	9636	92231
473	9656	92207
474	9677	92191
475	9694	92138
476	9712	92092
477	9731	92059
478	9747	92003
479	9764	91947
480	9780	91885
481	9795	91815
482	9812	91761
483	9827	91700
484	9845	91653
485	9866	91643
486	9883	91589
487	9902	91557
488	9920	91516
489	9937	91464
490	9953	91401
491	9974	91388
492	9993	91358
493	10011	91314
494	10027	91256
495	10042	91189
496	10063	91174
497	10079	91122
498	10098	91086
499	10117	91061
500	10133	91002
501	10152	90965
502	10172	90943
503	10187	90880
504	10204	90834
505	10224	90805
506	10240	90750
507	10256	90697
508	10273	90647
509	10292	90615
510	10312	90590
511	10329	90544
512	10345	90485
513	10364	90461
514	10382	90418
515	10401	90384
516	10416	90327
517	10436	90304
518	10453	90250
519	10470	90209
520	10487	90156
521	10506	90127
522	10521	90068
523	10537	90010
524	10551	89940
525	10570	89911
526	10587	89864
527	10602	89801
528	10622	89778
529	10637	89717
530	10658	89702
531	10677	89674
532	10692	89613
533	10711	89584
534	10727	89527
535	10740	89452
536	10756	89400
537	10773	89355
538	10789	89295
539	10804	89239
540	10822	89203
541	10837	89137
542	10853	89090
543	10873	89064
544	10890	89024
545	10907	88980
546	10924	88931
547	10942	88897
548	10959	88856
549	10976	88810
550	10991	88747
551	11009	88716
552	11028	88685
553	11043	88623
554	11060	88580
555	11075	88527
556	11090	88461
557	11109	88436
558	11129	88416
559	11157	88459
560	11180	88471
561	11203	88471
562	11223	88452
563	11242	88425
564	11264	88424
565	11285	88412
566	11309	88423
567	11332	88425
568	11353	88416
569	11376	88415
570	11396	88400
571	11418	88395
572	11439	88379
573	11464	88403
574	11489	88421
575	11518	88465
576	11543	88487
577	11570	88518
578	11589	88490
579	11610	88483
580	11635	88495
581	11666	88563
582	11689	88566
583	11713	88570
584	11736	88577
585	11762	88602
586	11786	88612
587	11809	88609
588	11833	88623
589	11859	88646
590	11883	88650
591	11911	88690
592	11932	88679
593	11965	88757
594	11987	88750
595	12009	88739
596	12035	88767
597	12060	88778
598	12080	88755
599	12104	88765
600	12127	88766
601	12156	88811
602	12177	88799
603	12202	88811
604	12225	88810
605	12254	88855
606	12275	88843
607	12303	88879
608	12326	88876
609	12351	88890
610	12378	88919
611	12401	88918
612	12425	88921
613	12446	88908
614	12468	88899
615	12491	88903
616	12516	88915
617	12537	88898
618	12560	88900
619	12587	88921
620	12613	88941
621	12635	88938
622	12664	88979
623	12688	88979
624	12715	89009
625	12736	88994
626	12759	88988
627	12780	88977
628	12804	88978
629	12828	88984
630	12854	89002
631	12880	89022
632	12902	89014
633	12923	88994
634	12945	88988
635	12970	89000
636	12999	89034
637	13021	89030
638	13043	89016
639	13069	89038
640	13094	89047
641	13115	89031
642	13141	89049
643	13164	89045
644	13189	89054
645	13219	89096
646	13247	89130
647	13275	89161
648	13298	89152
649	13325	89176
650	13349	89184
651	13371	89168
652	13394	89168
653	13419	89175
654	13440	89157
655	13463	89155
656	13490	89179
657	13511	89159
658	13543	89213
659	13564	89198
660	13595	89245
661	13616	89229
662	13646	89270
663	13674	89297
664	13699	89304
665	13725	89321
666	13750	89329
667	13771	89308
668	13799	89337
669	13822	89329
670	13844	89315
671	13866	89305
672	13888	89297
673	13911	89290
674	13930	89261
675	13957	89275
676	13979	89268
677	14006	89287
678	14030	89285
679	14053	89280
680	14073	89255
681	14093	89230
682	14123	89266
683	14147	89270
684	14172	89273
685	14200	89299
686	14220	89277
687	14245	89282
688	14269	89285
689	14295	89293
690	14320	89299
691	14346	89311
692	14369	89305
693	14394	89312
694	14416	89299
695	14439	89292
696	14459	89269
697	14485	89278
698	14507	89266
699	14528	89243
700	14556	89269
701	14579	89265
702	14604	89265
703	14628	89265
704	14660	89313
705	14683	89310
706	14708	89311
707	14735	89326
708	14764	89356
709	14791	89371
710	14814	89366
711	14836	89354
712	14854	89315
713	14869	89256
714	14888	89229
715	14906	89190
716	14922	89141
717	14943	89122
718	14964	89101
719	14979	89046
720	14997	89005
721	15012	88954
722	15030	88915
723	15047	88874
724	15068	88854
725	15087	88818
726	15103	88770
727	15120	88727
728	15139	88695
729	15159	88672
730	15176	88627
731	15195	88598
732	15215	88573
733	15234	88543
734	15252	88506
735	15269	88463
736	15287	88425
737	15304	88385
738	15321	88340
739	15339	88303
740	15357	88268
741	15373	88219
742	15394	88203
743	15408	88141
744	15422	88084
745	15443	88063
746	15460	88022
747	15480	87999
748	15497	87959
749	15514	87915
750	15534	87890
751	15551	87849
752	15567	87804
753	15584	87761
754	15600	87714
755	15616	87667
756	15638	87654
757	15656	87617
758	15671	87565
759	15689	87528
760	15706	87492
761	15722	87444
762	15740	87409
763	15761	87388
764	15778	87347
765	15799	87329
766	15814	87279
767	15833	87249
768	15848	87200
769	15866	87160
770	15883	87121
771	15900	87081
772	15917	87041
773	15936	87014
774	15953	86974
775	15973	86951
776	15988	86896
777	16005	86856
778	16020	86806
779	16039	86776
780	16054	86727
781	16076	86714
782	16093	86673
783	16109	86630
784	16126	86591
785	16146	86567
786	16161	86514
787	16179	86484
788	16194	86430
789	16209	86379
790	16228	86355
791	16246	86321
792	16263	86283
793	16281	86249
794	16297	86202
795	16314	86160
796	16333	86136
797	16351	86099
798	16365	86045
799	16381	86002
800	16395	85948
801	16411	85904
802	16428	85865
803	16448	85844
804	16464	85799
805	16480	85756
806	16498	85723
807	16513	85675
808	16529	85631
809	16548	85603
810	16564	85559
811	16581	85519
812	16596	85472
813	16611	85426
814	16631	85402
815	16648	85363
816	16663	85315
817	16685	85302
818	16700	85256
819	16720	85233
820	16736	85192
821	16749	85134
822	16769	85110
823	16785	85067
824	16802	85028
825	16816	84975
826	16836	84957
827	16852	84915
828	16870	84881
829	16886	84838
830	16901	84790
831	16919	84759
832	16934	84713
833	16952	84682
834	16970	84647
835	16987	84611
836	17001	84561
837	17018	84526
838	17035	84488
839	17051	84446
840	17070	84416
841	17085	84371
842	17101	84331
843	17118	84294
844	17136	84265
845	17153	84226
846	17170	84191
847	17188	84159
848	17201	84103
849	17221	84080
850	17237	84040
851	17254	84002
852	17269	83958
853	17287	83928
854	17303	83886
855	17323	83863
856	17339	83826
857	17355	83781
858	17371	83741
859	17390	83717
860	17407	83679
861	17423	83641
862	17440	83605
863	17462	83592
864	17479	83556
865	17493	83510
866	17509	83469
867	17527	83435
868	17543	83396
869	17558	83353
870	17579	83337
871	17595	83297
872	17611	83257
873	17631	83235
874	17645	83186
875	17663	83154
876	17678	83112
877	17695	83078
878	17715	83056
879	17733	83026
880	17749	82986
881	17766	82952
882	17783	82915
883	17799	82874
884	17818	82848
885	17835	82817
886	17851	82779
887	17870	82750
888	17890	82729
889	17906	82690
890	17924	82663
891	17939	82616
892	17953	82571
893	17968	82527
894	17984	82486
895	17998	82439
896	18015	82403
897	18031	82365
898	18046	82322
899	18063	82291
900	18079	82252
901	18095	82210
902	18111	82174
903	18129	82142
904	18144	82102
905	18163	82076
906	18180	82043
907	18194	81997
908	18212	81966
909	18232	81944
910	18249	81910
911	18266	81877
912	18283	81844
913	18297	81798
914	18315	81769
915	18332	81733
916	18346	81690
917	18364	81657
918	18380	81623
919	18396	81584
920	18413	81551
921	18427	81506
922	18442	81462
923	18463	81447
924	18478	81404
925	18496	81377
926	18512	81340
927	18528	81303
928	18545	81267
929	18564	81245
930	18583	81220
931	18598	81179
932	18614	81142
933	18632	81113
934	18648	81076
935	18666	81046
936	18684	81017
937	18701	80986
938	18721	80967
939	18737	80931
940	18753	80892
941	18771	80865
942	18786	80825
943	18805	80798
944	18821	80764
945	18838	80731
946	18855	80698
947	18871	80660
948	18885	80615
949	18901	80581
950	18918	80545
951	18937	80524
952	18953	80489
953	18972	80463
954	18987	80421
955	19007	80405
956	19022	80364
957	19036	80319
958	19052	80280
959	19069	80251
960	19083	80207
961	19100	80175
962	19118	80147
963	19137	80124
964	19155	80096
965	19175	80076
966	19190	80034
967	19207	80006
968	19224	79975
969	19240	79937
970	19262	79925
971	19279	79895
972	19295	79858
973	19311	79824
974	19329	79796
975	19345	79759
976	19363	79733
977	19379	79699
978	19398	79673
979	19412	79629
980	19427	79592
981	19441	79546
982	19460	79522
983	19477	79491
984	19492	79452
985	19510	79428
986	19527	79396
987	19543	79362
988	19562	79337
989	19577	79298
990	19592	79261
991	19611	79237
992	19633	79225
993	19649	79191
994	19665	79157
995	19684	79132
996	19699	79092
997	19716	79062
998	19732	79028
999	19749	78996
1000	19767	78971
1001	19781	78929
1002	19796	78890
1003	19818	78877
1004	19839	78863
1005	19859	78846
1006	19880	78832
1007	19903	78822
1008	19923	78807
1009	19942	78782
1010	19964	78771
1011	19986	78761
1012	20010	78758
1013	20035	78759
1014	20061	78763
1015	20083	78750
1016	20105	78741
1017	20134	78759
1018	20164	78779
1019	20185	78762
1020	20206	78746
1021	20231	78748
1022	20260	78763
1023	20286	78769
1024	20310	78764
1025	20329	78741
1026	20354	78740
1027	20380	78745
1028	20411	78769
1029	20432	78755
1030	20453	78739
1031	20479	78742
1032	20502	78736
1033	20529	78743
1034	20551	78729
1035	20579	78742
1036	20603	78740
1037	20631	78751
1038	20661	78767
1039	20683	78757
1040	20710	78764
1041	20732	78749
1042	20753	78736
1043	20778	78736
1044	20800	78723
1045	20822	78710
1046	20848	78715
1047	20872	78710
1048	20900	78719
1049	20921	78703
1050	20949	78716
1051	20975	78717
1052	21000	78715
1053	21021	78702
1054	21047	78704
1055	21067	78684
1056	21089	78671
1057	21114	78671
1058	21139	78670
1059	21163	78663
1060	21186	78655
1061	21211	78656
1062	21236	78654
1063	21260	78646
1064	21284	78644
1065	21308	78636
1066	21332	78633
1067	21359	78638
1068	21385	78638
1069	21408	78629
1070	21430	78617
1071	21455	78617
1072	21476	78601
1073	21503	78607
1074	21527	78599
1075	21554	78605
1076	21579	78605
1077	21602	78594
1078	21629	78598
1079	21655	78601
1080	21675	78582
1081	21701	78581
1082	21723	78567
1083	21744	78551
1084	21770	78554
1085	21797	78559
1086	21821	78555
1087	21845	78547
1088	21867	78535
1089	21895	78541
1090	21918	78532
1091	21944	78532
1092	21970	78535
1093	21992	78520
1094	22015	78513
1095	22036	78494
1096	22061	78490
1097	22084	78483
1098	22109	78479
1099	22131	78466
1100	22154	78457
1101	22187	78480
1102	22212	78479
1103	22239	78481
1104	22265	78482
1105	22289	78476
1106	22314	78473
1107	22339	78471
1108	22362	78459
1109	22389	78463
1110	22409	78443
1111	22429	78423
1112	22455	78423
1113	22483	78430
1114	22508	78427
1115	22532	78419
1116	22553	78403
1117	22575	78389
1118	22602	78393
1119	22623	78374
1120	22649	78374
1121	22673	78367
1122	22699	78366
1123	22720	78348
1124	22743	78338
1125	22768	78334
1126	22794	78335
1127	22822	78341
1128	22848	78339
1129	22869	78324
1130	22894	78317
1131	22915	78300
1132	22941	78299
1133	22964	78289
1134	22988	78281
1135	23011	78270
1136	23037	78270
1137	23060	78258
1138	23086	78259
1139	23110	78252
1140	23142	78271
1141	23167	78265
1142	23192	78260
1143	23212	78241
1144	23237	78234
1145	23264	78239
1146	23288	78229
1147	23311	78220
1148	23338	78222
1149	23360	78206
1150	23383	78194
1151	23406	78184
1152	23429	78172
1153	23456	78174
1154	23476	78154
1155	23504	78159
1156	23526	78143
1157	23544	78116
1158	23563	78092
1159	23582	78064
1160	23601	78040
1161	23614	77996
1162	23632	77970
1163	23652	77946
1164	23672	77926
1165	23690	77897
1166	23707	77868
1167	23726	77842
1168	23744	77814
1169	23758	77774
1170	23776	77745
1171	23793	77714
1172	23809	77681
1173	23828	77655
1174	23847	77629
1175	23864	77599
1176	23886	77585
1177	23901	77547
1178	23925	77540
1179	23951	77539
1180	23975	77529
1181	23998	77519
1182	24021	77506
1183	24043	77492
1184	24065	77476
1185	24090	77472
1186	24116	77469
1187	24136	77449
1188	24155	77422
1189	24170	77385
1190	24191	77367
1191	24210	77342
1192	24228	77317
1193	24250	77301
1194	24265	77264
1195	24290	77257
1196	24307	77226
1197	24325	77200
1198	24345	77180
1199	24363	77151
1200	24384	77133
1201	24401	77102
1202	24418	77070
1203	24439	77054
1204	24457	77024
1205	24475	76998
1206	24496	76981
1207	24512	76947
1208	24534	76932
1209	24554	76911
1210	24572	76882
1211	24589	76853
1212	24607	76825
1213	24627	76804
1214	24649	76787
1215	24665	76754
1216	24684	76730
1217	24703	76707
1218	24719	76674
1219	24740	76653
1220	24757	76625
1221	24777	76602
1222	24799	76587
1223	24815	76556
1224	24837	76541
1225	24853	76505
1226	24870	76475
1227	24887	76445
1228	24903	76412
1229	24921	76386
1230	24938	76356
1231	24955	76323
1232	24971	76292
1233	24989	76263
1234	25004	76227
1235	25020	76193
1236	25038	76168
1237	25056	76141
1238	25075	76115
1239	25091	76085
1240	25106	76048
